,Unnamed: 0,entity_id,osmid,y,x,category_slug,province_id,name,address,total_connectors,connector_array
0,0,28703,11637427082,21.0629704,105.9139736,car_charging_station,2483.0,Chung cư No08 Hans Home,"Bãi đỗ xe ngoài trời chung cư No08 – Giang Biên, Số 08, Đường Mai Chí Thọ, phường Giang Biên",3,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
1,1,28708,1879091753,21.0190509,105.7812926,car_charging_station,2483.0,Vinhomes Skylake,"Vinhomes Skylake, ô đất E1.3, khu đô thị mới Cầu Giấy, phường Mỹ Đình",6,"[2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0]"
2,2,28709,7262861406,20.992548,105.9397179,car_charging_station,2483.0,"Vinhomes Ocean Park, Hầm toà S2.01 đến S2.03 ","Hầm toà S2.01 đến S2.03 Vinhomes Ocean Park, xã Kiêu Kỵ",8,"[0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
3,3,28710,13026724424,20.9930597,105.9427867,car_charging_station,2483.0,"Vinhomes Ocean Park, hầm S2.06-S2.09","Hầm chung cư S2.06-S2.09 Vinhomes Ocean Park, xã Đa Tốn",8,"[0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
4,4,28711,7262861255,20.9919607,105.9421372,car_charging_station,2483.0,"Vinhomes Ocean Park, Hầm chung cư S2.10- S2.16","Hầm chung cư S2.10- S2.16, Park 7, B2CT03, PK2 Vinhomes Ocean Park, xã Đa Tốn",3,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,5,28733,8730634772,20.9882114,105.9420677,car_charging_station,2483.0,Văn phòng Technopark VinFast 45 tầng,"Hầm B2 tòa Technoparrk, khu đô thị Vinhomes Ocean Park, xã Kiêu Kỵ",12,"[0, 0, 9, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
6,6,28779,11373853904,20.9522059,105.7515026,car_charging_station,2483.0,Đại lý Ô tô VinFast Hà Đông,"Đại lý ô tô VinFast, Chevrolet, số 948, đường Quang Trung, phường Phú Lâm",2,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
7,7,28780,5406185760,21.0357586,105.7618848,car_charging_station,2483.0,Vinhomes Gardenia - Hầm Tòa A1,"Tầng hầm Tòa A1, Vinhomes Gardenia,  Số 16, Đường Hàm Nghi",8,"[0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,8,28781,103005711,21.0118425,105.8498272,car_charging_station,2483.0,Vincom Center Bà Triệu,"Hầm B2, Vincom Center Bà Triệu, số 191, đường Bà Triệu",6,"[2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0]"
9,9,28782,2175069059,21.0312915,105.8136115,car_charging_station,2483.0,Vincom Center Metropolis - Hầm B3,"Cột M6, hầm B3, Vincom Center Metropolis, số 29, đường Liễu Giai, phường Ngọc Khánh",8,"[4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
